time,npos,epos,h,alpha,beta,phi,theta,psi,p,q,r,TAS,ail,ele,rud,thrust,ail_cmd,ele_cmd,rud_cmd,thrust_cmd,vn,ve,vh,mu,chi,nx,ny,nz,nx_ref,ny_ref,nz_ref,Fx,Fy,Fz,Mx,My,Mz,lon,lat,lef,lef_cmd,Cz,delta_Cz_lef,Czq,delta_Czq_lef,Cm,delta_Cm_lef,Cmq,delta_Cmq_lef,delta_Cm,delta_Cm_ds,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
0.000000,0.000000,0.000000,5000.000000,2.613221,0.000000,0.000000,2.613221,0.000000,0.000000,0.000000,0.000000,200.000000,0.022496,4.054434,0.000000,41923.856716,0.022496,4.054434,0.000000,41923.856716,200.000000,0.000000,0.000000,0.000000,0.000000,0.358586,0.000080,-1.208094,0.312993,0.000080,-0.209134,-9225.001908,7.291096,-110163.994387,-174.097739,-71536.324969,-30.562655,122.425000,31.425000,0.000000,0.000000,-0.247033,-0.067683,-30.022644,-0.393024,-0.097639,0.035138,-5.464321,0.260453,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.100000,20.000000,0.000000,5000.000000,2.550497,0.000022,0.000000,2.613221,0.000000,-0.077814,-5.416327,-0.003258,200.297373,-0.033973,3.874012,-0.002955,46381.203799,-0.033973,3.874012,-0.002955,46381.203799,200.297253,0.000079,0.219272,0.062723,0.000022,0.404371,-0.000156,-1.093515,0.358777,-0.000156,-0.094555,-9507.340325,-14.197288,-99715.741393,301.310663,-62591.599998,40.345289,122.425000,31.425180,0.000000,0.000000,-0.240652,-0.067859,-30.010099,-0.369189,-0.095801,0.035089,-5.464697,0.260202,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.200000,40.029725,0.000008,5000.021927,1.977877,-0.000042,-0.007793,2.071592,-0.000289,0.056768,-10.155409,0.000998,200.644857,0.000551,2.627046,0.000940,49520.964346,0.000551,2.627046,0.000940,49520.964346,200.649072,-0.000218,0.328190,0.093717,-0.000062,0.434556,0.000011,-0.815193,0.398408,-0.000125,0.184153,-9894.564470,0.993271,-74336.060024,-33.946274,-39374.719311,-42.700729,122.425000,31.425361,0.000000,0.000000,-0.187201,-0.069462,-29.895575,-0.151593,-0.083428,0.034643,-5.468133,0.257912,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.300000,60.094632,-0.000014,5000.054746,1.010046,0.000019,-0.002111,1.056073,-0.000102,0.041327,-13.136641,-0.001363,201.041697,-0.017635,1.122985,-0.001246,51496.729618,-0.017635,1.122985,-0.001246,51496.729618,201.060118,-0.000158,0.161514,0.046031,-0.000045,0.447264,-0.000090,-0.459440,0.428834,-0.000127,0.540390,-10711.457033,-8.198946,-41895.519829,111.194937,-14799.208717,-14.139803,122.425000,31.425541,0.000000,0.000000,-0.104853,-0.072172,-29.702009,0.216182,-0.069362,0.033888,-5.473940,0.254040,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.400000,80.200644,-0.000030,5000.070898,-0.154647,0.000193,0.002021,-0.257558,-0.000237,0.090743,-14.257154,-0.000846,201.471662,-0.006173,-0.322598,-0.000954,52718.461957,-0.006173,-0.322598,-0.000954,52718.461957,201.508932,-0.000136,-0.361938,-0.102930,-0.000039,0.446227,-0.000075,-0.091064,0.450722,-0.000040,0.908926,-12027.798146,-6.852151,-8303.997093,-6.254303,5991.426423,-30.146584,122.425000,31.425722,0.000000,0.000000,-0.012499,-0.073886,-29.500000,0.695881,-0.056956,0.033180,-5.416286,0.331344,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.500000,100.351537,-0.000043,5000.034704,-1.326397,0.000241,0.011099,-1.683253,-0.000485,0.087667,-13.803517,-0.001256,201.911412,-0.012694,-1.549708,-0.001371,53467.078918,-0.012694,-1.549708,-0.001371,53467.078918,201.961361,0.000048,-1.257894,-0.356951,0.000014,0.446683,-0.000105,0.258765,0.476057,0.000089,1.258333,-12734.807882,-9.549380,23596.308281,48.355994,19328.201180,-14.923106,122.425000,31.425904,0.000000,0.000000,0.070737,-0.065450,-29.500000,1.422366,-0.048597,0.033790,-4.933525,0.947685,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.600000,120.547673,-0.000039,4999.908914,-2.353412,0.000188,0.019887,-3.063611,-0.000984,0.109036,-12.340095,-0.000373,202.349727,-0.007450,-2.584476,-0.000524,53922.964383,-0.007450,-2.584476,-0.000524,53922.964383,202.395932,0.000074,-2.508892,-0.710417,0.000021,0.445654,-0.000074,0.544764,0.499098,0.000273,1.543335,-13284.569436,-6.703182,49676.127950,0.321782,28644.392209,-21.388753,122.425000,31.426086,0.000000,0.000000,0.142422,-0.058055,-29.500000,2.059115,-0.042634,0.034324,-4.510394,1.487895,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.700000,140.787267,-0.000031,4999.658025,-3.153309,-0.000147,0.030829,-4.297648,-0.001568,0.108961,-10.171304,-0.000083,202.776763,-0.009233,-3.313602,0.000073,54199.573183,-0.009233,-3.313602,0.000073,54199.573183,202.796957,-0.000068,-4.050899,-1.144682,-0.000019,0.444620,-0.000047,0.747455,0.519558,0.000490,1.744643,-13655.417095,-4.262355,68159.107567,18.820171,33955.830176,-17.039362,122.425000,31.426268,0.000000,0.000000,0.197078,-0.052296,-29.500000,2.555052,-0.039291,0.034740,-4.180837,1.908641,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.800000,161.066962,-0.000038,4999.252935,-3.679574,-0.000602,0.041781,-5.314812,-0.002224,0.117177,-7.600360,0.000324,203.191538,-0.006778,-3.711489,0.000893,54366.626001,-0.006778,-3.711489,0.000893,54366.626001,203.161240,-0.000508,-5.799859,-1.635661,-0.000143,0.444151,0.000005,0.859666,0.536779,0.000731,1.855367,-13865.306581,0.469723,78391.471313,-0.797712,35893.740542,-20.614095,122.425000,31.426451,0.000000,0.000000,0.232175,-0.048506,-29.500000,2.881336,-0.038072,0.035014,-3.964016,2.185456,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.900000,181.383086,-0.000089,4998.672950,-3.917833,-0.001183,0.053559,-6.074876,-0.002827,0.116639,-4.882689,0.000076,203.600231,-0.007222,-3.782530,0.001251,54466.724652,-0.007222,-3.782530,0.001251,54466.724652,203.496437,-0.001236,-7.664758,-2.157473,-0.000348,0.444575,0.000051,0.882334,0.550403,0.000980,1.876718,-13926.696749,4.627103,80458.465274,5.716358,34834.181858,-18.252393,122.425000,31.426634,0.000000,0.000000,0.247209,-0.046790,-29.500000,3.029056,-0.038521,0.035139,-3.865853,2.310780,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.000000,201.732730,-0.000212,4997.906474,-3.878777,-0.001714,0.065278,-6.563162,-0.003328,0.119033,-2.245242,-0.000379,204.013130,-0.006210,-3.553855,0.001373,54525.757956,-0.006210,-3.553855,0.001373,54525.757956,203.817285,-0.002218,-9.556110,-2.684754,-0.000624,0.446105,0.000094,0.822560,0.560403,0.001226,1.816005,-13846.237935,8.595629,75007.783409,-2.082378,30937.385567,-16.715035,122.425000,31.426817,0.000000,0.000000,0.243150,-0.047070,-29.500000,3.004842,-0.040328,0.035119,-3.881944,2.290237,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.100000,222.114459,-0.000434,4996.950863,-3.593642,-0.002140,0.077219,-6.787691,-0.003648,0.117975,0.097162,-0.001173,204.441121,-0.006450,-3.075042,0.001084,54559.554823,-0.006450,-3.075042,0.001084,54559.554823,204.141160,-0.003361,-11.391998,-3.194326,-0.000943,0.448817,0.000121,0.692801,0.567007,0.001459,1.685791,-13632.749351,10.996096,63175.350241,0.667853,24360.793349,-10.756853,122.425000,31.427001,0.000000,0.000000,0.222189,-0.049123,-29.500000,2.828058,-0.043280,0.034971,-3.999420,2.140256,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
