model/extractor_type,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,model/parameters,eval/mean_ep_length,train/explained_variance,train/std,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,eval/mean_reward,train/n_updates,train/clip_range,train/policy_gradient_loss,eval/success_rate,train/approx_kl
"LSTMFeatureExtractor",-257.45758056640625,8192,1,846,9,0.0,353.11764705882354,879821,,,,,,,,,,,,,,
,,10000,,,,,,,235.8,-0.010509610176086426,0.740818202495575,-0.008099071681499481,0.08881089060256879,0.0007731119791666666,-4.256816387176514,9.22176e-05,-257.146728515625,3,0.191808,-0.0005182194387695441,0.0,0.00089209835
,-278.1366882324219,16384,2,740,22,0.0,361.5853658536585,,,,,,,,,,,,,,,
,,20000,,,,,,,114.6,-0.4545786380767822,0.740818202495575,-0.0072931163012981415,0.10036112243930499,0.0016276041666666667,-4.256816387176514,8.44352e-05,-219.51620483398438,6,0.183616,-0.0005785218187763045,0.0,0.0010978633
,-283.03253173828125,24576,3,731,33,0.0,367.4153846153846,,,,,,,,,,,,,,,
,,30000,,,,,,,176.6,-0.15381252765655518,0.740818202495575,-0.01999354548752308,0.10404756960148613,0.0018310546875,-4.256816387176514,7.66528e-05,-226.3773956298828,9,0.17542400000000002,0.0006587900570593774,0.0,0.0009713276
,-283.9288024902344,32768,4,719,45,0.0,366.4698795180723,,,,,,,,,,,,,,,
,,40000,,,,,,,373.4,0.034617483615875244,0.740818202495575,-0.005156148225069046,0.14759895702203116,0.008382161458333334,-4.256816387176514,6.887040000000001e-05,-300.88690185546875,12,0.16723200000000002,0.0006509476321904609,0.0,0.0012307554
,-287.42242431640625,40960,5,690,59,0.0,374.45,,,,,,,,,,,,,,,
,-286.51226806640625,49152,6,706,69,0.0,376.52,,,0.15228044986724854,0.740818202495575,-0.01989462599158287,0.17634331807494164,0.037434895833333336,-4.256816387176514,6.108800000000001e-05,,15,0.15904000000000001,0.0008158580167219043,,0.0016406346
,,50000,,,,,,,253.6,0.3499246835708618,0.740818202495575,0.026592213660478592,0.28455258285005885,0.09049479166666667,-4.256816387176514,5.330560000000001e-05,-245.8170166015625,18,0.150848,0.002526284816364447,0.0,0.0016723564
,-284.8988342285156,57344,7,697,82,0.0,380.17,,,,,,,,,,,,,,,
,,60000,,,,,,,181.0,0.5431430339813232,0.740818202495575,0.04523744806647301,0.4276245714475711,0.14750162760416666,-4.256816387176514,4.5523200000000005e-05,-238.23184204101562,21,0.142656,0.0014415984624065459,0.0,0.0018819382
,-287.9295959472656,65536,8,696,94,0.0,384.66,,,,,,,,,,,,,,,
,,70000,,,,,,,328.8,0.6173264384269714,0.740818202495575,0.17413337528705597,0.6349264271557331,0.17069498697916666,-4.256816387176514,3.77408e-05,-259.30755615234375,24,0.134464,0.002841123011118422,0.0,0.0025626293
,-280.9725036621094,73728,9,686,107,0.0,387.22,,,,,,,,,,,,,,,
,,80000,,,,,,,253.4,0.7216264009475708,0.740818202495575,0.19619540870189667,0.7757280953228474,0.17976888020833334,-4.256816387176514,2.99584e-05,-254.42825317382812,27,0.126272,0.0044057974591851234,0.0,0.0024941878
,-281.763427734375,81920,10,682,120,0.0,385.14,,,,,,,,,,,,,,,
,,90000,,,,,,,189.0,0.7947533130645752,0.740818202495575,0.36019080877304077,1.0376421809196472,0.18009440104166666,-4.256816387176514,2.2176e-05,-225.70651245117188,30,0.11808,0.0036988730425946414,0.0,0.0028215493
,-282.3616638183594,90112,11,682,132,0.0,385.11,,,,,,,,,,,,,,,
,-286.38507080078125,98304,12,690,142,0.0,383.64,,,0.8543849587440491,0.740818202495575,0.5101385116577148,1.1814240316549938,0.19954427083333334,-4.256816387176514,1.4393599999999997e-05,,33,0.109888,0.0027560250309761614,,0.0032788708
,,100000,,,,,,,332.4,0.8357934355735779,0.740818202495575,0.4561278820037842,1.356178271273772,0.2093505859375,-4.256816387176514,6.611199999999995e-06,-286.80596923828125,36,0.10169600000000001,0.002991351745246599,0.0,0.0027432153
,-284.0493469238281,106496,13,684,155,0.0,386.58,,,,,,,,,,,,,,,
