model/parameters,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,rollout/success_rate,time/iterations,eval/seq_prediction_mse,time/time_elapsed,rollout/ep_rew_mean,eval/best_seq_prediction_mse,rollout/ep_len_mean,time/fps,train/std,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/clip_range_vf
5865051,-217.69033813476562,0.0,20000,147.7,"TransformerFeaturesExtractor",,,,,,,,,,,,,,,,,,,,
,,,32768,,,0.01,1,1.1956385791301727,46,-223.82972717285156,1.1956385791301727,179.68,708,,,,,,,,,,,,
,-198.29257202148438,0.1,40000,139.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.1438504457473755,9.9377408e-05,0.17420896794646978,4,0.907889,0.4777849316596985,0.8690643310546875,0.9133945293724537,0.19934464000000002,0.2
,-213.74374389648438,0.0,60000,149.7,,,,0.9701980948448181,,,0.9701980948448181,,,,,,,,,,,,,,
,,,65536,,,0.03,2,1.1143458843231202,120,-232.2814483642578,,208.37,544,,,,,,,,,,,,
,-229.3998260498047,0.0,80000,267.0,,,,,,,,,,0.740818202495575,-4.256815433502197,0.4449186325073242,9.8754816e-05,0.1754024508409202,8,0.47576106,0.17012439668178558,0.802337646484375,0.12265669903717935,0.19868928000000002,0.2
,,,98304,,,0.02,3,1.0074268758296967,180,-234.15953063964844,,300.12,543,,,,,,,,,,,,
,-211.42276000976562,0.0,100000,215.0,,,,,,,,,,0.740818202495575,-4.256815433502197,0.20629435777664185,9.8132224e-05,0.06999289244413376,12,0.11213049,0.07508105784654617,0.6284561157226562,0.12568878568708897,0.19803392,0.2
,-215.3485107421875,0.0,120000,251.3,,,,0.9639626264572143,,,0.9639626264572143,,,,,,,,,,,,,,
,,,131072,,,0.02,4,0.9701070129871369,274,-235.6697235107422,,313.51,477,,,,,,,,,,,,
,-196.36575317382812,0.0,140000,124.1,,,,,,,,,,0.740818202495575,-4.256815433502197,0.07809776067733765,9.750963200000001e-05,0.02554967359174043,16,0.029925574,0.039148785173892975,0.41547393798828125,0.13067200989462435,0.19737856,0.2
,-194.20269775390625,0.0,160000,194.1,,,,0.9236895263195037,,,0.9236895263195037,,,,,,,,,,,,,,
,,,163840,,,0.01,5,0.8746099352836609,357,-239.16952514648438,0.8746099352836609,337.2,457,,,,,,,,,,,,
